train E000:   0% 0/156 [00:00<?, ?it/s.

train E000:  65% 101/156 [00:59<00:29,  1.85it/s, acc=0.3118, loss=4.6151]
train E000:  65% 102/156 [00:59<00:29,  1.86it/s, acc=0.3118, loss=4.6151.

train E000:  65% 102/156 [01:00<00:29,  1.86it/s, acc=0.3137, loss=4.5996]
train E000:  66% 103/156 [01:00<00:28,  1.87it/s, acc=0.3137, loss=4.5996.

train E000:  66% 103/156 [01:00<00:28,  1.87it/s, acc=0.3160, loss=4.5854]
train E000:  67% 104/156 [01:00<00:27,  1.89it/s, acc=0.3160, loss=4.5854.

train E000:  67% 104/156 [01:01<00:27,  1.89it/s, acc=0.3180, loss=4.5720]
train E000:  67% 105/156 [01:01<00:26,  1.89it/s, acc=0.3180, loss=4.5720.

train E000:  67% 105/156 [01:01<00:26,  1.89it/s, acc=0.3196, loss=4.5602]
train E000:  68% 106/156 [01:01<00:26,  1.87it/s, acc=0.3196, loss=4.5602.

train E000:  68% 106/156 [01:02<00:26,  1.87it/s, acc=0.3224, loss=4.5468]
train E000:  69% 107/156 [01:02<00:26,  1.86it/s, acc=0.3224, loss=4.5468.

train E000:  69% 107/156 [01:02<00:26,  1.86it/s, acc=0.3240, loss=4.5349]
train E000:  69% 108/156 [01:02<00:25,  1.86it/s, acc=0.3240, loss=4.5349.

train E000:  69% 108/156 [01:03<00:25,  1.86it/s, acc=0.3258, loss=4.5243]
train E000:  70% 109/156 [01:03<00:25,  1.85it/s, acc=0.3258, loss=4.5243.

train E000:  70% 109/156 [01:03<00:25,  1.85it/s, acc=0.3282, loss=4.5084]
train E000:  71% 110/156 [01:03<00:24,  1.85it/s, acc=0.3282, loss=4.5084.

train E000:  71% 110/156 [01:04<00:24,  1.85it/s, acc=0.3301, loss=4.4941]
train E000:  71% 111/156 [01:04<00:24,  1.86it/s, acc=0.3301, loss=4.4941.

train E000:  71% 111/156 [01:04<00:24,  1.86it/s, acc=0.3313, loss=4.4807]
train E000:  72% 112/156 [01:04<00:23,  1.88it/s, acc=0.3313, loss=4.4807.

train E000:  72% 112/156 [01:05<00:23,  1.88it/s, acc=0.3322, loss=4.4730]
train E000:  72% 113/156 [01:05<00:22,  1.87it/s, acc=0.3322, loss=4.4730.

train E000:  72% 113/156 [01:05<00:22,  1.87it/s, acc=0.3343, loss=4.4593]
train E000:  73% 114/156 [01:05<00:22,  1.87it/s, acc=0.3343, loss=4.4593.

train E000:  73% 114/156 [01:06<00:22,  1.87it/s, acc=0.3364, loss=4.4477]
train E000:  74% 115/156 [01:06<00:21,  1.87it/s, acc=0.3364, loss=4.4477.

train E000:  74% 115/156 [01:06<00:21,  1.87it/s, acc=0.3379, loss=4.4389]
train E000:  74% 116/156 [01:06<00:21,  1.88it/s, acc=0.3379, loss=4.4389.

train E000:  74% 116/156 [01:07<00:21,  1.88it/s, acc=0.3405, loss=4.4240]
train E000:  75% 117/156 [01:07<00:20,  1.88it/s, acc=0.3405, loss=4.4240.

